percentage,pvalue
0,1
1.2,0.04
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
2.7,2.40E-05
1.3,0.034
15.4,1.00E-131
0,1
0,1
0,1
0.7,0.26
5.7,3.80E-19
2.1,0.00078
26.7,0
4.9,2.30E-14
15.9,1.60E-132
14.6,4.60E-113
3.6,5.50E-08
0,1
0,1
0,1
0,1
0,1
0,1
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
,
,
,
,
,
,
,
