percentage,pvalue
0,1
2.2,0.054
0,1
0,1
0.9,0.4
0,1
0,1
0,1
0.7,0.54
0,1
0,1
0,1
0.6,0.63
0.7,0.53
0,1
4.1,0.00043
0.2,0.86
9,2.50E-14
0,1
7.5,1.40E-10
0.8,0.51
6.9,9.60E-09
20.9,2.50E-68
2.4,0.051
11.8,9.80E-23
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,9.90E-01
0,1.00E+00
0,1.00E+00
0.5,0.66
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
1.9,1.00E-01
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
0,1.00E+00
